"","game_pk","officialDate","doubleHeader","dayNight","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","home_team_abb","league_home","division_home","away_team_abb","league_away","division_away","interplay","intradivision","home_exp_pct","wins_last5","home_wins_last10","home_losses_last10","home_wins_last10_athome","home_losses_last10_athome","home_runs_scored_last10","home_runs_against_last10","home_extra_innings_games","home_extra_innings_games_last","htoh_wins_home","htoh_wins_away","away_exp_pct","away_wins_last5","away_wins_last10","away_losses_last10","away_wins_last10_away","away_losses_last10_away","away_runs_scored_last10","away_runs_against_last10","away_extra_innings_games","away_extra_innings_games_last","away_pitcher_winpct","home_pitcher_winpct","away_pitcher_mean_ip","home_pitcher_mean_ip","away_pitcher_ERA","home_pitcher_ERA","away_pitcher_WHIP","home_pitcher_WHIP","winHome","home_dif_win_pct","away_dif_win_pct","description","rescheduledFrom","rescheduledFromDate"
"1",718626,"2023-04-11","N","night",7,4,0.636,7,5,0.583,"CLE","American League","American League Central","NYY","American League","American League East",0,0,0.559784774810682,3,7,3,2,2,53,44,4,0,1,0,0.729655172413793,3,6,4,2,2,46,28,0,0,1,0,6.05,4.6,0.73,3.72,0.892,0.931,0,-0.0232152251893184,0.0936551724137931,NA,NA,NA
"2",718618,"2023-04-11","N","night",2,9,0.182,6,5,0.545,"BAL","American League","American League East","OAK","American League","American League West",0,0,0.5,2,5,5,2,2,50,50,0,0,1,0,0.116788321167883,0,2,8,0,4,28,77,2,0,0,0,5.1,5,2.53,3.6,1.125,1,1,-0.045,-0.0652116788321168,NA,NA,NA
"3",718623,"2023-04-11","N","night",5,7,0.417,7,4,0.636,"PIT","National League","National League Central","HOU","American League","American League West",1,0,0.446391514872031,3,6,4,2,2,44,49,0,0,0,1,0.588406924722817,3,5,5,2,2,53,43,2,0,0.5,0.5,5.5,5.6,3.27,3.86,1.273,1.286,1,-0.189608485127969,0.171406924722817,NA,NA,NA
"4",718625,"2023-04-11","N","night",5,6,0.455,11,0,1,"TBR","American League","American League East","BOS","American League","American League East",0,1,0.946885245901639,5,10,0,7,0,76,18,0,0,1,0,0.601728608470182,3,5,5,3,1,59,48,0,0,NA,1,NA,6,NA,1.5,NA,1.167,1,-0.0531147540983606,0.146728608470181,NA,NA,NA
"5",718619,"2023-04-11","N","night",5,7,0.417,4,7,0.364,"PHI","National League","National League East","MIA","National League","National League East",0,1,0.400990099009901,3,4,6,3,1,45,55,0,0,1,0,0.194763038303398,2,4,6,1,3,27,56,0,0,NA,0,NA,4.6,NA,7.45,NA,1.448,0,0.036990099009901,-0.222236961696602,NA,NA,NA
"6",718622,"2023-04-11","N","night",2,8,0.2,7,4,0.636,"TOR","American League","American League East","DET","American League","American League Central",0,0,0.464331210191083,4,6,4,0,0,54,58,1,0,0,0,0.159413951454188,1,2,7,2,4,27,62,1,0,1,0.5,5.2,5.05,3.18,4.35,1.412,1.548,1,-0.171668789808917,-0.0405860485458124,NA,NA,NA
"7",718621,"2023-04-11","N","night",7,5,0.583,6,6,0.5,"NYM","National League","National League East","SDP","National League","National League West",0,0,0.477788746298124,3,5,5,3,1,39,43,0,0,1,0,0.530898279889573,3,6,4,3,2,48,40,0,0,0,0,5,4.5,3.6,6,1.2,2.111,0,-0.0222112537018756,-0.0521017201104268,NA,NA,NA
"8",718620,"2023-04-11","N","night",4,6,0.4,8,4,0.667,"ATL","National League","National League East","CIN","National League","National League Central",0,0,0.584494382022472,2,6,4,2,3,44,41,1,0,1,0,0.4513353115727,1,4,5,1,3,39,43,1,0,0,NA,5.1,NA,3.38,NA,1.313,NA,1,-0.0825056179775281,0.0513353115727003,NA,NA,NA
"9",718617,"2023-04-11","N","night",4,8,0.333,6,4,0.6,"CHC","National League","National League Central","SEA","American League","American League West",1,0,0.596641131408368,4,5,4,4,3,45,37,1,0,1,0,0.5,2,3,7,2,2,42,45,3,1,0,0,9,4.2,3,5.79,1.222,1.714,1,-0.00335886859163226,0.167,NA,NA,NA
"10",718616,"2023-04-11","N","night",5,7,0.417,7,4,0.636,"MIN","American League","American League Central","CHW","American League","American League Central",0,1,0.671140939597315,2,6,4,2,2,40,28,1,0,0,1,0.390243902439024,2,4,6,3,4,53,68,0,0,0,NA,5,NA,9,NA,1.9,NA,1,0.0351409395973155,-0.0267560975609756,NA,NA,NA
"11",718615,"2023-04-11","N","night",3,9,0.25,7,4,0.636,"TEX","American League","American League West","KCR","American League","American League Central",0,0,0.699667221297837,3,6,4,5,2,58,38,0,0,1,0,0.259407772979642,2,3,7,2,2,29,47,0,0,0,0.5,5.5,4.6,4.91,5.59,1.364,1.035,1,0.063667221297837,0.00940777297964218,NA,NA,NA
"12",718613,"2023-04-11","N","night",4,7,0.364,5,7,0.417,"COL","National League","National League West","STL","National League","National League Central",0,0,0.398271391529818,3,4,6,3,2,41,57,0,0,1,0,0.399900024993752,1,3,7,1,3,40,49,0,0,0,1,4.55,6.1,9.64,0,2.143,0.79,0,-0.0187286084701815,0.0359000249937516,NA,NA,NA
"13",718614,"2023-04-11","N","night",4,8,0.333,6,5,0.545,"LAA","American League","American League West","WSN","National League","National League East",1,0,0.61972800826304,2,5,5,1,3,60,47,1,0,0,1,0.362514990577351,3,4,6,3,2,44,54,0,0,0,0.5,5.5,6,4.91,0.75,1.636,1,1,0.07472800826304,0.0295149905773514,NA,NA,NA
"14",718611,"2023-04-11","N","night",8,3,0.727,7,5,0.583,"ARI","National League","National League West","MIL","National League","National League Central",0,0,0.5,4,7,3,4,1,51,45,0,0,1,0,0.773154362416107,3,7,3,2,2,48,26,0,0,0,0,4.55,4.55,9.64,1.93,1.714,1.821,0,-0.083,0.0461543624161074,NA,NA,NA
