"","X.1","X","game_pk","officialDate","doubleHeader","dayNight","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","home_team_abb","league_home","division_home","away_team_abb","league_away","division_away","interplay","intradivision","winHome","home_games_10days","away_games_10days","home_sos_losses","home_sos_wins","home_sos_total","away_sos_losses","away_sos_wins","away_sos_total","home_exp_pct","wins_last5","home_wins_last10","home_losses_last10","home_wins_last10_athome","home_losses_last10_athome","home_runs_scored_last10","home_runs_against_last10","home_extra_innings_games","home_extra_innings_games_last","htoh_wins_home","htoh_wins_away","away_exp_pct","away_wins_last5","away_wins_last10","away_losses_last10","away_wins_last10_away","away_losses_last10_away","away_runs_scored_last10","away_runs_against_last10","away_extra_innings_games","away_extra_innings_games_last","away_pitcher_winpct","home_pitcher_winpct","away_pitcher_mean_ip","home_pitcher_mean_ip","away_pitcher_ERA","home_pitcher_ERA","away_pitcher_WHIP","home_pitcher_WHIP","last30_away_pitcher_winpct","last30_home_pitcher_winpct","last30_away_pitcher_mean_ip","last30_home_pitcher_mean_ip","last30_away_pitcher_ERA","last30_home_pitcher_ERA","last30_away_pitcher_WHIP","last30_home_pitcher_WHIP","home_dif_win_pct","away_dif_win_pct"
"1",1,1,718626,"2023-04-11","N","night",6,4,0.6,7,4,0.636,"CLE","American League","American League Central","NYY","American League","American League East",0,0,"0",9,9,0.22775+0i,0.525285714285714,0.417090909090909,0.22775+0i,0.525285714285714,0.417090909090909,0.559784774810682,3,7,3,2,2,53,44,4,0,1,0,0.729655172413793,3,6,4,2,2,46,28,0,0,0.5,0,6.22,4.8,2.01,6.86,1.085,1.424,0.166666666666667,0,5.68333333333333,7,2.88,3.86,1.369,1.286,-0.0762152251893184,0.129655172413793
"2",2,2,718618,"2023-04-11","N","night",2,8,0.2,5,5,0.5,"BAL","American League","American League East","OAK","American League","American League West",0,0,"1",9,9,0.4592+0i,0.5278,0.4935,0.4592+0i,0.5278,0.4935,0.5,2,5,5,2,2,50,50,0,0,1,0,0.116788321167883,0,2,8,0,4,28,77,2,0,0.111111111111111,0.25,4.66666666666667,4.625,7.71,6.57,1.952,1.73,0.2,0.4,4.62,4.44,8.1,6.35,1.929,1.809,0,-0.0832116788321168
"3",3,3,718623,"2023-04-11","N","night",5,6,0.455,6,4,0.6,"PIT","National League","National League Central","HOU","American League","American League West",1,0,"1",9,9,0.31875+0i,0.406666666666667,0.3715,0.31875+0i,0.406666666666667,0.3715,0.446391514872031,3,6,4,2,2,44,49,0,0,0,1,0.588406924722817,3,5,5,2,2,53,43,2,0,0.444444444444444,0.555555555555556,5.8,6.24444444444444,3.25,2.38,0.968,1.024,0.4,0.8,6.04,6.6,2.93,1.36,0.848,0.788,-0.153608485127969,0.133406924722817
"4",4,4,718625,"2023-04-11","N","night",5,5,0.5,10,0,1,"TBR","American League","American League East","BOS","American League","American League East",0,1,"1",9,9,NA,0.2208,0.2208,NA,0.2208,0.2208,0.946885245901639,5,10,0,7,0,76,18,0,0,1,0,0.601728608470182,3,5,5,3,1,59,48,0,0,0.333333333333333,0.777777777777778,5.33333333333333,5.55555555555556,6.19,2.34,1.375,1.22,0,0.6,4,5.4,11.25,3,2.25,1.296,-0.0531147540983606,0.101728608470182
"5",5,5,718619,"2023-04-11","N","night",4,7,0.364,4,6,0.4,"PHI","National League","National League East","MIA","National League","National League East",0,1,"0",9,9,0.616+0i,0.5625,0.5946,0.616+0i,0.5625,0.5946,0.400990099009901,3,4,6,3,1,45,55,0,0,1,0,0.194763038303398,2,4,6,1,3,27,56,0,0,NA,0.333333333333333,NA,6.13333333333333,NA,4.53,NA,1.114,NA,0.4,NA,6.82,NA,3.67,NA,0.903,0.000990099009900991,-0.169236961696602
"6",6,6,718622,"2023-04-11","N","night",2,7,0.222,6,4,0.6,"TOR","American League","American League East","DET","American League","American League Central",0,0,"1",9,8,0.26775+0i,0.318166666666667,0.298,0.26775+0i,0.318166666666667,0.298,0.464331210191083,4,6,4,0,0,54,58,1,0,0,0,0.159413951454188,1,2,7,2,4,27,62,1,0,0.5,0.111111111111111,5.6,5,4.63,5.4,1.286,1.8,NA,0,NA,5.04,NA,4.21,NA,1.675,-0.135668789808917,-0.0625860485458124
"7",7,7,718621,"2023-04-11","N","night",6,5,0.545,6,5,0.545,"NYM","National League","National League East","SDP","National League","National League West",0,0,"0",9,9,0.51+0i,0.372833333333333,0.435181818181818,0.51+0i,0.372833333333333,0.435181818181818,0.477788746298124,3,5,5,3,1,39,43,0,0,1,0,0.530898279889573,3,6,4,3,2,48,40,0,0,0.25,0.125,5.8,4.875,3.42,8.08,1.141,1.744,0,0,7.2,4.525,4.7,10.31,1.044,1.855,-0.0672112537018756,-0.0141017201104269
"8",8,8,718620,"2023-04-11","N","night",4,5,0.444,7,4,0.636,"ATL","National League","National League East","CIN","National League","National League Central",0,0,"1",10,8,0.37125+0i,0.366714285714286,0.368363636363636,0.37125+0i,0.366714285714286,0.368363636363636,0.584494382022472,2,6,4,2,3,44,41,1,0,1,0,0.4513353115727,1,4,5,1,3,39,43,1,0,0.166666666666667,0,4.33333333333333,3.64,9,5.79,2.231,1.768,0.333333333333333,0,4.66666666666667,3.33333333333333,5.14,5.4,1.786,1.8,-0.0515056179775281,0.00733531157270029
"9",9,9,718617,"2023-04-11","N","night",4,7,0.364,5,4,0.556,"CHC","National League","National League Central","SEA","American League","American League West",1,0,"1",8,9,0.41675+0i,0.4776,0.450555555555556,0.41675+0i,0.4776,0.450555555555556,0.596641131408368,4,5,4,4,3,45,37,1,0,1,0,0.5,2,3,7,2,2,42,45,3,1,0,0.25,7.025,4.8875,6.67,5.03,1.729,1.322,0,0.2,11,5.22,4.91,4.44,1.727,1.101,0.0406411314083677,0.136
"10",10,10,718616,"2023-04-11","N","night",5,6,0.455,6,4,0.6,"MIN","American League","American League Central","CHW","American League","American League Central",0,1,"1",9,9,0.3165+0i,0.175666666666667,0.232,0.3165+0i,0.175666666666667,0.232,0.671140939597315,2,6,4,2,2,40,28,1,0,0,1,0.390243902439024,2,4,6,3,4,53,68,0,0,0.222222222222222,NA,5.67777777777778,NA,6.66,NA,1.52,NA,0.333333333333333,NA,5.85,NA,6.37,NA,1.472,NA,0.0711409395973155,-0.0647560975609756
